date,fund_id,universe,method,periods_per_year,gross_return,turnover,trading_cost,net_return,growth_gross,growth_net,drawdown_gross,drawdown_net,is_rebalance
2022-02-25,crypto_risk_parity,crypto,risk_parity,365,0.04292477140997579,0,0,0.04292477140997579,2.587392228887988,2.582182581327853,-0.6262902518677391,-0.6264656571871525,False
2022-02-25,equity_equal_weight,equity,equal_weight,252,0.0255902643739913,0,0,0.0255902643739913,1.249465395131365,1.247768712559858,-0.03416989604594223,-0.03416989604594267,False
2022-02-25,equity_max_sharpe,equity,max_sharpe,252,0.02490995808508461,0,0,0.02490995808508461,1.110669689669012,1.107900251659606,-0.05351553120806052,-0.0537273683784405,False
2022-02-25,equity_min_variance,equity,minimum_variance,252,0.02391388928352087,0,0,0.02391388928352087,1.110395086531642,1.108925802215309,-0.02690220184674463,-0.02693470486815153,False
2022-02-25,equity_risk_parity,equity,risk_parity,252,0.02480839236712632,0,0,0.02480839236712632,1.197846943472041,1.196255559965768,-0.03821037969138108,-0.03824260847325245,False
2022-02-25,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,0.02472752137159115,0,0,0.02472752137159115,1.192509860772225,1.190690897057704,-0.03815872804292864,-0.03820947611031589,False
2022-02-26,crypto_equal_weight,crypto,equal_weight,365,0.002783707727839813,0,0,0.002783707727839813,2.765335020008918,2.759802455000622,-0.6260979728850984,-0.6262794963007825,False
2022-02-26,crypto_max_sharpe,crypto,max_sharpe,365,-0.001612022973245448,0,0,-0.001612022973245448,3.153181176943517,3.147010641935566,-0.4752418335555387,-0.4752902685596407,False
2022-02-26,crypto_min_variance,crypto,minimum_variance,365,-0.00150165602356834,0,0,-0.00150165602356834,2.951548293230053,2.944634999586477,-0.4602631398471584,-0.4603182726725344,False
2022-02-26,crypto_risk_parity,crypto,risk_parity,365,0.002783707727839813,0,0,0.002783707727839813,2.594594772630497,2.589370622934189,-0.6252499531538942,-0.6254258467504509,False
2022-02-27,crypto_equal_weight,crypto,equal_weight,365,-0.0415607707468081,0,0,-0.0415607707468081,2.650405565204208,2.645102937861863,-0.6416376293157875,-0.6418116084784073,False
2022-02-27,crypto_max_sharpe,crypto,max_sharpe,365,-0.04324187643748415,0,0,-0.04324187643748415,3.016831706105125,3.010927996609541,-0.4979333613484909,-0.4979797019321303,False
2022-02-27,crypto_min_variance,crypto,minimum_variance,365,-0.04126665376279386,0,0,-0.04126665376279386,2.829747771749163,2.823119766600737,-0.4825362739781032,-0.4825891316562635,False
2022-02-27,crypto_risk_parity,crypto,risk_parity,365,-0.0415607707468081,0,0,-0.0415607707468081,2.486761414104334,2.481754384095901,-0.6408248539382209,-0.6409934372613351,False
2022-02-28,combined_equal_weight,combined,equal_weight,252,0.01655282827677545,0,0,0.01655282827677545,1.389347121537528,1.387155341960749,-0.08819003974973616,-0.08830825933824615,False
2022-02-28,combined_max_sharpe,combined,max_sharpe,252,0.01075552798256058,0,0,0.01075552798256058,1.222387179035261,1.219119137245549,-0.09599868223032082,-0.09689833532643022,False
2022-02-28,combined_min_variance,combined,minimum_variance,252,-0.008499634313558102,0,0,-0.008499634313558102,1.091678153402702,1.090216055828437,-0.03363004579364415,-0.03365672665452313,False
2022-02-28,combined_risk_parity,combined,risk_parity,252,0.005651355792616009,0,0,0.005651355792616009,1.307108388187603,1.305182041525394,-0.05517611827450253,-0.05527279845793087,False
2022-02-28,crypto_equal_weight,crypto,equal_weight,365,0.1004996986933741,0,0,0.1004996986933741,2.916770525922473,2.91093498612994,-0.6056223190389809,-0.605813783055023,False
